Year,FullTeam,ID,Payroll
2023,Arizona Diamondbacks,2,103763571
2023,Atlanta Braves,3,193477500
2023,Baltimore Orioles,4,52157966
2023,Boston Red Sox,5,167533182
2023,Chicago Cubs,6,170365000
2023,Chicago White Sox,7,174911666
2023,Cincinnati Reds,8,70624500
2023,Colorado Rockies,10,166250466
2023,Detroit Tigers,11,105338500
2023,Houston Astros,13,180888333
2023,Kansas City Royals,14,75825000
2023,Los Angeles Dodgers,15,217612634
2023,Milwaukee Brewers,16,108644960
2023,Minnesota Twins,17,141271190
2023,New York Mets,19,334233332
2023,New York Yankees,20,268954047
2023,Oakland Athletics,21,43145000
2023,Philadelphia Phillies,22,232424939
2023,Pittsburgh Pirates,23,60787500
2023,San Diego Padres,24,236962024
2023,San Francisco Giants,25,175590000
2023,Seattle Mariners,26,129814047
2023,St. Louis Cardinals,27,147770834
2023,Tampa Bay Rays,28,64652911
2023,Texas Rangers,29,183578160
2023,Toronto Blue Jays,30,205680777
2023,Washington Nationals,32,78983095
2023,Miami Marlins,34,81075000
2023,Cleveland Guardians,35,75010000
2023,Los Angeles Angels,36,204088094
2022,Arizona Diamondbacks,2,77393333
2022,Atlanta Braves,3,175335000
2022,Baltimore Orioles,4,41421166
2022,Boston Red Sox,5,201616000
2022,Chicago Cubs,6,141810000
2022,Chicago White Sox,7,190760734
2022,Cincinnati Reds,8,113580000
2022,Colorado Rockies,10,137852166
2022,Detroit Tigers,11,128640000
2022,Houston Astros,13,171639599
2022,Kansas City Royals,14,84610000
2022,Los Angeles Dodgers,15,285508333
2022,Milwaukee Brewers,16,128581128
2022,Minnesota Twins,17,130984524
2022,New York Mets,19,255919999
2022,New York Yankees,20,240290714
2022,Oakland Athletics,21,32548334
2022,Philadelphia Phillies,22,221738462
2022,Pittsburgh Pirates,23,38575000
2022,San Diego Padres,24,202172618
2022,San Francisco Giants,25,142292500
2022,Seattle Mariners,26,92745714
2022,St. Louis Cardinals,27,150746666
2022,Tampa Bay Rays,28,75347813
2022,Texas Rangers,29,134961333
2022,Toronto Blue Jays,30,164470905
2022,Washington Nationals,32,114623095
2022,Miami Marlins,34,79500000
2022,Cleveland Guardians,35,57710000
2022,Los Angeles Angels,36,187613094
2021,Arizona Diamondbacks,2,94394792
2021,Atlanta Braves,3,132458375
2021,Baltimore Orioles,4,56158500
2021,Boston Red Sox,5,179540260
2021,Chicago Cubs,6,156481585
2021,Chicago White Sox,7,127148334
2021,Cincinnati Reds,8,123575488
2021,Cleveland Indians,35,51269100
2021,Colorado Rockies,10,110309500
